zone,prop_type,listing_type,furnishing,bhk,area,bathrooms,age,amenities_count,floor,total_floors,has_metro,price
Balewadi,apartment,sale,unfurnished,1,676,1,1,3,1,2,0,5454100
Hinjewadi,apartment,rent,semi-furnished,1,346,1,7,3,0,11,1,10600
Balewadi,apartment,sale,fully-furnished,4,1811,4,18,5,3,7,0,17854400
Chinchwad,plot,rent,semi-furnished,0,3309,1,15,1,0,1,0,62700
Koregaon Park,apartment,rent,fully-furnished,3,1379,3,0,7,3,3,0,125800
Balewadi,commercial,rent,semi-furnished,0,2070,1,18,4,0,1,0,121100
Kharadi,house,rent,semi-furnished,1,895,1,4,3,10,17,1,40300
Kothrud,apartment,rent,unfurnished,2,944,2,4,4,1,6,1,41600
Magarpatta,apartment,sale,unfurnished,4,1501,4,12,2,2,2,0,13070300
Hinjewadi,apartment,rent,unfurnished,2,582,2,14,4,6,12,1,18100
Kothrud,apartment,sale,semi-furnished,3,1132,3,7,4,4,4,1,15492000
Pimple Saudagar,plot,sale,fully-furnished,0,1860,1,3,4,0,1,0,12738300
Kondhwa,plot,rent,fully-furnished,0,1523,1,6,3,0,1,0,53500
Baner,studio,rent,semi-furnished,1,507,1,7,7,0,2,1,27600
Aundh,house,sale,semi-furnished,2,1215,2,23,4,3,8,1,10232000
Wanowrie,studio,sale,unfurnished,1,664,1,8,5,0,4,0,4237000
Baner,apartment,rent,unfurnished,2,1060,2,18,4,5,15,1,43500
Wakad,apartment,rent,unfurnished,1,552,1,21,4,5,5,1,16300
Shivajinagar,studio,rent,semi-furnished,1,678,1,14,6,13,17,1,25800
Wakad,villa,rent,unfurnished,3,2670,3,19,6,0,4,1,317400
Hinjewadi,plot,rent,semi-furnished,0,891,1,10,2,0,1,1,32100
Wakad,apartment,sale,unfurnished,5,2044,5,18,8,3,11,1,19040200
Kondhwa,commercial,sale,unfurnished,0,3513,1,30,1,0,1,0,16072000
Kothrud,house,sale,unfurnished,3,1439,3,30,4,1,3,1,9359100
Hinjewadi,apartment,rent,semi-furnished,2,1190,2,31,2,7,8,1,23500
Kharadi,apartment,sale,fully-furnished,3,1231,3,22,2,11,19,1,9258800
Balewadi,apartment,rent,semi-furnished,3,1159,3,28,4,4,14,0,84200
Wagholi,apartment,rent,fully-furnished,2,1131,2,8,1,4,6,0,22100
Hinjewadi,apartment,sale,semi-furnished,2,911,2,14,4,5,5,1,7153700
Kothrud,commercial,sale,unfurnished,0,5673,1,2,3,0,1,1,37687800
Pimple Saudagar,apartment,sale,unfurnished,4,1620,4,14,0,20,20,0,13321400
Kothrud,apartment,sale,unfurnished,1,635,1,8,7,5,6,1,6024300
Kothrud,villa,sale,semi-furnished,1,2775,1,5,4,5,13,1,44843300
Kothrud,apartment,sale,unfurnished,1,914,1,8,6,0,10,1,5870700
Chinchwad,commercial,rent,unfurnished,0,861,1,24,6,0,1,0,24000
Kondhwa,apartment,sale,fully-furnished,2,816,2,27,4,3,8,0,4628500
Pimpri,apartment,sale,fully-furnished,3,1224,3,16,2,0,2,0,8893600
Hadapsar,apartment,sale,fully-furnished,2,813,2,9,4,1,17,0,6009100
Baner,commercial,sale,fully-furnished,0,5116,1,6,4,0,1,1,64514100
Kalyani Nagar,apartment,rent,fully-furnished,2,1195,2,24,6,9,10,0,79500
Kothrud,apartment,sale,semi-furnished,4,1492,4,22,3,10,14,1,13425000
Baner,studio,rent,semi-furnished,1,542,1,6,4,4,12,1,25200
Baner,apartment,sale,unfurnished,4,1595,4,12,4,10,14,1,18505100
Bavdhan,apartment,sale,fully-furnished,3,1324,3,20,1,6,14,0,7989000
Kothrud,plot,sale,semi-furnished,0,3946,1,9,2,0,1,1,28088100
Hinjewadi,apartment,sale,fully-furnished,4,1884,4,31,2,2,6,1,15590200
Pashan,studio,sale,semi-furnished,1,649,1,31,4,4,10,0,3628100
Kothrud,apartment,sale,semi-furnished,2,1168,2,4,1,6,7,1,12334600
Kalyani Nagar,studio,sale,unfurnished,1,397,1,2,9,8,8,0,6594800
Kothrud,apartment,rent,semi-furnished,2,964,2,9,4,0,2,1,40400
Wakad,apartment,rent,unfurnished,2,887,2,15,3,9,9,1,22200
Koregaon Park,apartment,rent,semi-furnished,3,1115,3,8,4,12,12,0,66300
Boat Club Road,plot,rent,semi-furnished,0,4016,1,1,8,0,1,0,268600
Kharadi,apartment,sale,semi-furnished,3,1283,3,2,2,4,5,1,12077700
Undri,apartment,sale,semi-furnished,4,1454,4,15,0,9,15,0,7528100
Pimple Saudagar,villa,rent,unfurnished,2,3346,2,14,0,7,7,0,274800
Kharadi,apartment,sale,fully-furnished,4,1536,4,5,6,5,5,1,22564300
Baner,studio,rent,semi-furnished,1,514,1,10,0,8,8,1,30000
Kothrud,apartment,sale,semi-furnished,4,1128,4,8,4,1,9,1,8591500
Balewadi,plot,rent,fully-furnished,0,716,1,16,6,0,1,0,46000
Koregaon Park,apartment,sale,fully-furnished,3,1347,3,9,4,8,22,0,21496900
Pisoli,villa,sale,unfurnished,2,1326,2,23,3,0,4,0,6000300
Balewadi,commercial,sale,fully-furnished,0,3568,1,24,6,0,1,0,31364500
Kondhwa,apartment,rent,semi-furnished,1,628,1,11,1,2,3,0,11400
Chinchwad,commercial,rent,semi-furnished,0,4169,1,17,4,0,1,0,175100
Shivajinagar,house,sale,fully-furnished,2,829,2,20,7,4,7,1,10419300
Magarpatta,apartment,rent,unfurnished,3,961,3,7,6,6,14,0,50200
Baner,apartment,rent,semi-furnished,3,1193,3,11,4,0,16,1,80600
Pisoli,apartment,rent,unfurnished,3,1457,3,28,6,2,11,0,55900
Viman Nagar,plot,sale,unfurnished,0,2322,1,30,6,0,1,1,16114700
Wakad,plot,sale,fully-furnished,0,3033,1,1,6,0,1,1,29732500
Koregaon Park,apartment,sale,fully-furnished,2,973,2,10,8,5,6,0,15490400
Kharadi,apartment,rent,unfurnished,2,963,2,29,4,12,12,1,38500
Aundh,plot,sale,semi-furnished,0,3698,1,25,5,0,1,1,26947100
Wanowrie,plot,rent,semi-furnished,0,4364,1,6,5,0,1,0,78600
Kalyani Nagar,apartment,sale,semi-furnished,2,1055,2,14,8,3,10,0,12519400
Kharadi,apartment,sale,semi-furnished,3,1320,3,8,5,3,7,1,12514100
Kharadi,plot,sale,unfurnished,0,1061,1,5,4,0,1,1,5848800
Magarpatta,apartment,rent,semi-furnished,3,1384,3,18,3,4,6,0,68900
Kharadi,apartment,sale,fully-furnished,3,1596,3,15,6,1,4,1,15337200
Wakad,commercial,rent,fully-furnished,0,3940,1,15,2,0,1,1,298500
Viman Nagar,commercial,sale,semi-furnished,0,3769,1,0,6,0,1,1,50967800
Chinchwad,plot,sale,unfurnished,0,1754,1,17,3,0,1,0,5450700
Kothrud,apartment,sale,semi-furnished,2,1097,2,11,3,10,19,1,9899400
Hinjewadi,apartment,sale,fully-furnished,2,1029,2,23,1,3,6,1,7637200
Kalyani Nagar,commercial,sale,unfurnished,0,3445,1,4,8,0,1,0,73032600
Wanowrie,studio,sale,fully-furnished,1,575,1,30,2,4,17,0,3586600
Wagholi,apartment,rent,semi-furnished,2,1056,2,4,5,1,2,0,18700
Magarpatta,house,sale,semi-furnished,2,1347,2,10,2,4,7,0,11206900
Wakad,studio,sale,semi-furnished,1,534,1,3,3,0,4,1,4731500
Kharadi,plot,sale,semi-furnished,0,4808,1,14,8,0,1,1,31761300
Hinjewadi,plot,rent,fully-furnished,0,693,1,8,6,0,1,1,28900
Wakad,house,sale,unfurnished,2,942,2,28,3,0,2,1,4815800
Shivajinagar,apartment,sale,unfurnished,3,1560,3,24,6,1,9,1,14589000
Viman Nagar,apartment,sale,semi-furnished,3,1512,3,10,5,11,13,1,17843200
Shivajinagar,commercial,sale,semi-furnished,0,5852,1,21,8,0,1,1,44497000
Aundh,apartment,rent,fully-furnished,1,652,1,13,4,11,11,1,20300
Kothrud,apartment,sale,fully-furnished,3,1462,3,31,7,0,11,1,13996000
Chinchwad,studio,sale,semi-furnished,1,394,1,11,0,3,8,0,2305600
Hinjewadi,apartment,sale,fully-furnished,4,1297,4,17,1,6,6,1,13372300
Hinjewadi,villa,rent,semi-furnished,2,2397,2,6,2,0,3,1,415700
Kothrud,apartment,sale,semi-furnished,3,1395,3,28,4,6,15,1,11941400
Kharadi,commercial,rent,unfurnished,0,3691,1,19,6,0,1,1,251800
Wanowrie,villa,sale,semi-furnished,2,2376,2,18,2,2,5,0,22719400
Pimple Saudagar,apartment,sale,semi-furnished,1,603,1,12,2,3,17,0,4130100
Kalyani Nagar,apartment,rent,semi-furnished,2,834,2,23,4,13,15,0,46400
Kothrud,apartment,sale,fully-furnished,1,1028,1,7,3,10,10,1,10194500
Kothrud,studio,rent,semi-furnished,1,389,1,16,2,10,12,1,25000
Kharadi,studio,sale,fully-furnished,1,463,1,9,1,6,9,1,3777900
Pimple Saudagar,apartment,rent,unfurnished,4,1549,4,22,0,0,3,0,82200
Viman Nagar,apartment,rent,fully-furnished,2,1093,2,3,8,7,8,1,48600
Balewadi,studio,rent,fully-furnished,1,525,1,24,2,7,11,0,26500
Aundh,apartment,rent,unfurnished,2,1128,2,20,8,10,12,1,41200
Hinjewadi,apartment,sale,semi-furnished,3,1424,3,18,2,6,15,1,11877700
Koregaon Park,villa,sale,fully-furnished,3,3019,3,22,9,6,13,0,49064600
Balewadi,apartment,sale,semi-furnished,3,1521,3,29,4,2,2,0,12253800
Kharadi,commercial,rent,semi-furnished,0,4240,1,28,4,0,1,1,515200
Shivajinagar,studio,rent,unfurnished,1,706,1,19,8,8,8,1,36800
Pimpri,apartment,rent,unfurnished,1,580,1,9,1,7,9,0,9500
Koregaon Park,house,sale,semi-furnished,4,1660,4,2,6,0,3,0,28975600
Wakad,commercial,rent,semi-furnished,0,3301,1,7,6,0,1,1,316700
Viman Nagar,plot,sale,semi-furnished,0,3272,1,28,3,0,1,1,18912400
Pisoli,studio,sale,unfurnished,1,300,1,25,7,7,10,0,1500000
Wanowrie,apartment,rent,fully-furnished,3,1044,3,22,4,1,5,0,65600
Kharadi,apartment,sale,unfurnished,3,1111,3,9,5,16,18,1,9040700
Pisoli,apartment,sale,semi-furnished,4,1388,4,15,2,1,2,0,8211900
Kondhwa,studio,rent,unfurnished,1,533,1,21,7,7,10,0,19600
Kothrud,villa,rent,semi-furnished,3,2390,3,2,5,9,10,1,646300
Magarpatta,apartment,sale,semi-furnished,4,1591,4,29,6,6,16,0,14506800
Baner,house,rent,fully-furnished,4,1691,4,2,4,1,6,1,152500
Hadapsar,commercial,sale,fully-furnished,0,2433,1,11,5,0,1,0,14174500
Aundh,studio,rent,unfurnished,1,614,1,26,7,10,11,1,24200
Koregaon Park,apartment,sale,unfurnished,1,479,1,3,7,4,9,0,5744600
Wakad,apartment,rent,semi-furnished,2,919,2,2,5,1,8,1,34200
Baner,villa,sale,fully-furnished,2,2410,2,9,4,4,11,1,47671800
Pimpri,apartment,sale,semi-furnished,3,1456,3,8,2,2,5,0,9638900
Kharadi,plot,sale,fully-furnished,0,2583,1,28,2,0,1,1,12360400
Undri,apartment,rent,unfurnished,3,1297,3,23,4,3,15,0,38500
Wanowrie,villa,rent,unfurnished,3,2025,3,2,5,4,9,0,284300
Balewadi,apartment,rent,fully-furnished,2,1035,2,26,4,1,8,0,39900
Wakad,apartment,rent,unfurnished,2,974,2,20,7,7,13,1,17900
Baner,apartment,sale,unfurnished,2,1237,2,24,6,4,7,1,9076200
Wagholi,apartment,rent,fully-furnished,3,1118,3,2,2,3,6,0,47900
Kothrud,apartment,sale,unfurnished,3,1412,3,6,2,9,18,1,14060600
Kalyani Nagar,studio,sale,fully-furnished,1,450,1,30,5,12,15,0,4801900
Magarpatta,apartment,rent,semi-furnished,3,1415,3,2,2,13,15,0,93800
Chinchwad,commercial,rent,unfurnished,0,4577,1,30,5,0,1,0,147800
Magarpatta,villa,rent,fully-furnished,2,2572,2,24,3,5,15,0,372300
Viman Nagar,plot,sale,unfurnished,0,3652,1,23,8,0,1,1,16783600
Wakad,apartment,sale,semi-furnished,2,1004,2,20,4,5,11,1,8225400
Hinjewadi,apartment,rent,fully-furnished,3,1339,3,12,1,6,14,1,80100
Balewadi,plot,sale,fully-furnished,0,3040,1,28,1,0,1,0,10577400
Pimpri,house,rent,unfurnished,2,1146,2,5,1,10,10,0,35700
Camp,commercial,rent,semi-furnished,0,5186,1,1,6,0,1,0,387500
Magarpatta,apartment,sale,semi-furnished,3,1325,3,21,1,9,21,0,11133700
Baner,villa,sale,semi-furnished,2,1200,2,22,3,3,11,1,10687800
Bavdhan,apartment,sale,unfurnished,1,794,1,31,3,0,7,0,3594100
Baner,commercial,sale,unfurnished,0,2875,1,10,7,0,1,1,14017200
Kothrud,apartment,sale,fully-furnished,3,1329,3,2,4,4,6,1,22269600
Pisoli,apartment,sale,unfurnished,3,1536,3,9,0,12,12,0,7238900
Wakad,apartment,rent,fully-furnished,1,560,1,9,5,2,5,1,20300
Hinjewadi,house,sale,semi-furnished,2,1261,2,13,6,1,2,1,7231900
Pimple Saudagar,apartment,sale,unfurnished,4,1991,4,7,3,0,10,0,14867600
Aundh,commercial,sale,semi-furnished,0,5939,1,17,7,0,1,1,43776700
Undri,studio,rent,semi-furnished,1,457,1,29,3,6,17,0,12800
Chinchwad,apartment,rent,unfurnished,4,1831,4,1,3,0,2,0,81700
Viman Nagar,villa,rent,semi-furnished,3,2722,3,28,7,1,6,1,823800
Hinjewadi,apartment,sale,semi-furnished,3,1498,3,15,5,1,7,1,10958100
Kalyani Nagar,apartment,sale,fully-furnished,2,963,2,14,5,8,10,0,13402900
Camp,villa,sale,unfurnished,3,2211,3,2,3,3,7,0,27814800
Kondhwa,plot,sale,fully-furnished,0,1845,1,13,1,0,1,0,7899400
Chinchwad,commercial,sale,semi-furnished,0,3178,1,5,3,0,1,0,18809300
Aundh,house,sale,unfurnished,2,1090,2,23,5,1,8,1,7679500
Baner,villa,rent,unfurnished,2,1291,2,23,5,4,16,1,262600
Bavdhan,apartment,sale,fully-furnished,2,1076,2,14,3,1,4,0,6971700
Baner,studio,rent,unfurnished,1,695,1,16,4,4,9,1,23100
Bavdhan,apartment,sale,unfurnished,3,1029,3,15,2,9,11,0,7748900
Hinjewadi,plot,sale,semi-furnished,0,1726,1,27,2,0,1,1,12027800
Undri,house,sale,semi-furnished,2,1040,2,31,3,16,18,0,4156800
Kondhwa,apartment,rent,semi-furnished,2,1015,2,9,1,0,13,0,20600
Bavdhan,apartment,rent,fully-furnished,3,1310,3,13,3,2,2,0,68900
Hadapsar,villa,sale,unfurnished,2,3310,2,30,3,7,8,0,20747000
Aundh,villa,rent,semi-furnished,3,2698,3,21,2,2,6,1,521200
Pimple Saudagar,apartment,rent,fully-furnished,2,1145,2,15,3,10,12,0,34300
Viman Nagar,studio,sale,unfurnished,1,482,1,2,3,2,2,1,5036900
Hinjewadi,commercial,rent,unfurnished,0,5015,1,22,1,0,1,1,407500
Shivajinagar,villa,rent,semi-furnished,2,2993,2,6,9,0,2,1,545300
Magarpatta,apartment,rent,fully-furnished,2,1099,2,4,8,7,9,0,46000
Koregaon Park,plot,sale,unfurnished,0,3019,1,24,7,0,1,0,25063500
Kalyani Nagar,apartment,sale,unfurnished,2,1455,2,23,9,1,14,0,13528200
Wanowrie,studio,rent,semi-furnished,1,365,1,22,1,3,7,0,15300
Pisoli,studio,sale,unfurnished,1,614,1,8,3,4,4,0,3183700
Hadapsar,villa,rent,fully-furnished,4,3014,4,25,1,3,9,0,410700
Kharadi,commercial,rent,semi-furnished,0,3589,1,17,3,0,1,1,268000
Kondhwa,apartment,rent,semi-furnished,3,1040,3,25,2,5,18,0,44100
Magarpatta,apartment,sale,fully-furnished,2,925,2,3,4,4,5,0,8847900
Chinchwad,house,sale,semi-furnished,2,1144,2,3,0,5,8,0,6714100
Shivajinagar,plot,rent,semi-furnished,0,3803,1,24,9,0,1,1,210200
Wanowrie,apartment,sale,fully-furnished,2,829,2,15,0,2,6,0,4593900
Balewadi,villa,sale,fully-furnished,2,3378,2,29,0,1,4,0,27020100
Balewadi,apartment,rent,unfurnished,2,974,2,3,3,6,10,0,35700
Boat Club Road,apartment,sale,unfurnished,2,725,2,10,6,6,15,0,6545100
Kothrud,apartment,sale,semi-furnished,2,874,2,13,4,2,8,1,9154500
Aundh,apartment,sale,unfurnished,2,1081,2,1,3,7,14,1,9897500
Kharadi,commercial,rent,semi-furnished,0,3720,1,6,1,0,1,1,418900
Wagholi,apartment,sale,unfurnished,3,1115,3,28,3,2,7,0,4163000
Balewadi,house,sale,unfurnished,3,1405,3,15,6,4,5,0,10918300
Hinjewadi,studio,rent,semi-furnished,1,371,1,19,4,2,8,1,20000
Baner,apartment,rent,unfurnished,3,1372,3,27,5,8,9,1,85100
Kothrud,house,rent,semi-furnished,2,815,2,0,3,11,11,1,39900
Hinjewadi,apartment,sale,semi-furnished,2,929,2,28,1,9,13,1,4785800
Wanowrie,studio,sale,fully-furnished,1,671,1,19,3,1,2,0,6479600
Baner,apartment,rent,fully-furnished,4,1759,4,12,2,1,7,1,192700
Kalyani Nagar,plot,sale,semi-furnished,0,3043,1,24,6,0,1,0,25955000
Undri,apartment,rent,semi-furnished,1,809,1,17,0,0,5,0,15400
Hinjewadi,studio,rent,fully-furnished,1,352,1,9,4,0,4,1,20200
Baner,apartment,sale,fully-furnished,2,1143,2,12,3,5,18,1,7796900
Hadapsar,plot,sale,semi-furnished,0,4986,1,2,6,0,1,0,26766700
Wakad,villa,sale,unfurnished,2,2295,2,14,6,7,7,1,25187600
Hadapsar,apartment,sale,semi-furnished,2,1090,2,7,7,2,12,0,7051800
Hadapsar,commercial,rent,semi-furnished,0,5840,1,17,1,0,1,0,459100
Wakad,plot,sale,fully-furnished,0,3015,1,15,9,0,1,1,26996500
Kondhwa,apartment,sale,semi-furnished,2,1060,2,14,4,11,12,0,6075400
Pashan,commercial,sale,unfurnished,0,950,1,20,2,0,1,0,8103400
Kharadi,house,sale,fully-furnished,3,1305,3,31,5,10,14,1,10655200
Kharadi,apartment,sale,unfurnished,1,494,1,6,1,0,8,1,2807600
Pashan,apartment,rent,semi-furnished,4,1591,4,28,2,9,11,0,119500
Kondhwa,house,sale,unfurnished,2,666,2,21,6,6,9,0,3283200
Pimple Saudagar,apartment,sale,unfurnished,3,1373,3,14,4,0,2,0,8638600
Wanowrie,studio,sale,fully-furnished,1,505,1,5,5,16,16,0,4676000
Baner,house,sale,unfurnished,3,1352,3,7,4,1,13,1,13166700
Bavdhan,studio,sale,fully-furnished,1,607,1,16,2,4,5,0,5386100
Aundh,apartment,sale,fully-furnished,4,1298,4,12,8,18,18,1,22503400
Aundh,plot,rent,semi-furnished,0,4863,1,14,7,0,1,1,210700
Aundh,apartment,rent,fully-furnished,2,1199,2,24,2,5,9,1,54300
Viman Nagar,apartment,sale,semi-furnished,3,1399,3,14,7,3,3,1,16775900
Wakad,apartment,rent,semi-furnished,3,1361,3,30,8,4,7,1,93800
Aundh,apartment,sale,unfurnished,2,1091,2,27,3,11,16,1,8275900
Shivajinagar,apartment,sale,semi-furnished,2,1122,2,6,10,14,15,1,14530600
Hinjewadi,house,sale,fully-furnished,3,1328,3,23,3,6,8,1,11515500
Balewadi,studio,sale,fully-furnished,1,517,1,25,0,1,3,0,3434900
Wakad,villa,rent,unfurnished,2,3952,2,25,8,10,11,1,364400
Wakad,plot,sale,semi-furnished,0,3485,1,6,3,0,1,1,29914100
Kothrud,apartment,rent,unfurnished,3,1298,3,3,5,2,17,1,72300
Viman Nagar,apartment,rent,semi-furnished,4,1404,4,4,6,11,13,1,144000
Wagholi,apartment,sale,fully-furnished,3,1201,3,11,2,10,12,0,9464000
Hadapsar,apartment,rent,unfurnished,3,1470,3,1,4,0,2,0,53100
Undri,apartment,rent,unfurnished,3,1055,3,28,4,7,10,0,41200
Wanowrie,apartment,rent,unfurnished,2,1257,2,7,0,5,7,0,34900
Balewadi,commercial,sale,unfurnished,0,386,1,9,3,0,1,0,3796500
Koregaon Park,villa,sale,unfurnished,3,2036,3,0,10,2,7,0,31772400
Koregaon Park,apartment,rent,fully-furnished,2,1034,2,18,6,2,10,0,82600
Shivajinagar,apartment,sale,fully-furnished,4,1950,4,8,6,6,6,1,30070400
Koregaon Park,apartment,sale,fully-furnished,4,1951,4,13,7,4,7,0,35922300
Koregaon Park,apartment,rent,semi-furnished,4,1604,4,17,6,1,2,0,189600
Pimpri,villa,rent,unfurnished,2,2370,2,16,1,0,10,0,440000
Hinjewadi,studio,rent,semi-furnished,1,389,1,18,0,6,12,1,17100
Viman Nagar,villa,sale,unfurnished,3,3352,3,21,6,2,10,1,25955900
Wagholi,studio,sale,fully-furnished,1,583,1,20,4,8,16,0,3381300
Pisoli,apartment,sale,semi-furnished,2,1055,2,14,0,10,15,0,4021200
Hadapsar,apartment,rent,unfurnished,4,1587,4,6,3,5,10,0,81500
Wanowrie,apartment,sale,unfurnished,3,1387,3,18,3,2,11,0,10774500
Shivajinagar,apartment,sale,semi-furnished,2,1217,2,0,6,9,18,1,16268300
Pisoli,apartment,sale,semi-furnished,3,1619,3,2,6,9,11,0,12166900
Baner,studio,rent,unfurnished,1,446,1,10,6,0,5,1,29000
Kharadi,house,rent,fully-furnished,2,1141,2,25,2,5,14,1,34400
Pimple Saudagar,apartment,sale,semi-furnished,2,993,2,21,2,1,11,0,4850100
Pimple Saudagar,apartment,rent,fully-furnished,4,1561,4,8,2,4,4,0,117400
Shivajinagar,apartment,rent,unfurnished,4,1654,4,15,10,7,10,1,161900
Kharadi,apartment,sale,semi-furnished,3,1645,3,23,3,5,18,1,11438800
Pisoli,apartment,rent,fully-furnished,2,1029,2,2,2,3,14,0,28600
Baner,studio,sale,semi-furnished,1,432,1,1,1,3,6,1,4340700
Undri,apartment,rent,semi-furnished,3,1139,3,14,0,0,16,0,35000
Hinjewadi,studio,sale,fully-furnished,1,448,1,17,5,0,7,1,3727600
Kalyani Nagar,studio,sale,semi-furnished,1,426,1,31,6,2,2,0,5603000
Hinjewadi,plot,rent,semi-furnished,0,2716,1,12,2,0,1,1,92900
Kalyani Nagar,apartment,sale,semi-furnished,2,956,2,12,7,0,3,0,10371200
Wagholi,apartment,rent,semi-furnished,3,1509,3,5,3,1,4,0,45800
Baner,apartment,sale,semi-furnished,3,1172,3,10,4,2,2,1,12894600
Baner,plot,rent,fully-furnished,0,3067,1,0,5,0,1,1,155200
Kharadi,apartment,sale,semi-furnished,2,799,2,19,5,6,13,1,6423500
Chinchwad,house,sale,semi-furnished,3,1283,3,23,1,6,14,0,5873300
Magarpatta,apartment,rent,fully-furnished,2,1170,2,21,6,1,2,0,51100
Koregaon Park,apartment,sale,unfurnished,1,747,1,14,6,6,14,0,8412800
Wakad,apartment,rent,semi-furnished,3,1237,3,1,4,0,7,1,74600
Pisoli,apartment,rent,unfurnished,3,1261,3,23,2,13,14,0,33700
Viman Nagar,studio,sale,semi-furnished,1,447,1,17,9,5,10,1,4422400
Kothrud,apartment,rent,unfurnished,2,798,2,14,3,2,13,1,37300
Kharadi,apartment,rent,semi-furnished,3,1310,3,13,5,0,2,1,52200
Undri,villa,sale,fully-furnished,1,2514,1,8,2,8,14,0,15627900
Shivajinagar,apartment,sale,semi-furnished,3,1462,3,23,6,3,5,1,14172000
Magarpatta,apartment,rent,fully-furnished,2,884,2,19,5,10,11,0,39500
Shivajinagar,house,rent,unfurnished,4,1748,4,13,9,14,14,1,180800
Hinjewadi,plot,sale,fully-furnished,0,974,1,31,4,0,1,1,4400800
Viman Nagar,apartment,rent,semi-furnished,2,566,2,23,7,9,12,1,30900
Balewadi,villa,rent,semi-furnished,2,3427,2,24,3,0,2,0,406900
Kalyani Nagar,apartment,rent,semi-furnished,5,2053,5,31,6,1,6,0,325700
Koregaon Park,apartment,rent,unfurnished,3,1167,3,8,4,14,16,0,90100
Wanowrie,apartment,rent,semi-furnished,2,953,2,30,2,0,3,0,29200
Viman Nagar,commercial,rent,fully-furnished,0,5565,1,3,6,0,1,1,906300
Kharadi,apartment,sale,unfurnished,4,1429,4,6,5,1,2,1,14820700
Hadapsar,house,sale,fully-furnished,3,1588,3,11,3,9,15,0,11871500
Undri,plot,sale,unfurnished,0,1832,1,19,4,0,1,0,4569600
Pimpri,house,sale,semi-furnished,2,1316,2,30,5,3,5,0,5161400
Hinjewadi,apartment,sale,semi-furnished,2,966,2,8,1,1,6,1,6471800
Wakad,apartment,sale,unfurnished,4,1668,4,14,6,2,5,1,13972300
Wanowrie,house,rent,semi-furnished,3,1404,3,7,1,1,6,0,71100
Shivajinagar,apartment,rent,unfurnished,5,1812,5,9,5,7,10,1,219500
Wakad,apartment,rent,semi-furnished,3,1293,3,0,5,5,5,1,66100
Hadapsar,apartment,rent,semi-furnished,3,1171,3,2,4,7,7,0,40800
Kalyani Nagar,apartment,rent,fully-furnished,3,1482,3,29,8,6,9,0,129100
Pashan,apartment,sale,semi-furnished,3,988,3,10,4,8,8,0,10221500
Kothrud,villa,sale,unfurnished,1,3848,1,0,4,0,14,1,37909300
Wagholi,studio,rent,fully-furnished,1,432,1,12,4,0,3,0,14200
Bavdhan,apartment,rent,fully-furnished,3,1436,3,15,0,1,3,0,53600
Hinjewadi,house,sale,unfurnished,2,1040,2,22,5,0,12,1,6479300
Balewadi,house,rent,semi-furnished,2,877,2,12,5,0,17,0,35300
Pimple Saudagar,apartment,sale,unfurnished,2,805,2,21,2,1,9,0,3392100
Wagholi,apartment,sale,fully-furnished,4,1737,4,22,3,14,15,0,11051200
Balewadi,plot,sale,semi-furnished,0,4200,1,13,3,0,1,0,30185500
Hinjewadi,studio,rent,unfurnished,1,388,1,4,1,13,14,1,16500
Pimple Saudagar,apartment,rent,semi-furnished,2,912,2,2,3,2,5,0,23500
Koregaon Park,apartment,sale,semi-furnished,3,1391,3,4,10,12,12,0,25941100
Balewadi,villa,rent,semi-furnished,3,3035,3,13,3,7,8,0,697000
Hinjewadi,apartment,rent,semi-furnished,2,904,2,8,4,1,8,1,31800
Aundh,house,rent,semi-furnished,2,936,2,18,6,7,9,1,43700
Balewadi,apartment,rent,unfurnished,3,1432,3,5,2,2,5,0,84500
Pimpri,apartment,rent,unfurnished,4,1833,4,28,1,5,8,0,78900
Hinjewadi,studio,rent,semi-furnished,1,561,1,27,7,0,17,1,23400
Wagholi,apartment,sale,semi-furnished,1,543,1,21,2,1,16,0,2383300
Magarpatta,apartment,sale,semi-furnished,3,1324,3,25,3,11,12,0,10711300
Kharadi,villa,rent,fully-furnished,3,2281,3,27,4,3,4,1,434600
Bavdhan,apartment,sale,semi-furnished,2,762,2,24,0,1,7,0,3461400
Hinjewadi,studio,rent,fully-furnished,1,311,1,27,5,3,7,1,16400
Pashan,villa,rent,unfurnished,3,2489,3,10,5,7,10,0,328900
Hinjewadi,apartment,rent,semi-furnished,2,871,2,12,2,8,8,1,23600
Wanowrie,apartment,sale,unfurnished,1,417,1,13,2,11,17,0,1942800
Aundh,commercial,rent,semi-furnished,0,1158,1,24,2,0,1,1,133200
Pimple Saudagar,house,sale,semi-furnished,3,1081,3,8,6,1,3,0,7550200
Kharadi,villa,rent,unfurnished,2,2280,2,21,7,4,9,1,292600
Wagholi,house,rent,fully-furnished,2,957,2,16,0,2,2,0,18600
Bavdhan,apartment,rent,semi-furnished,4,1454,4,29,3,1,5,0,109200
Wagholi,villa,sale,semi-furnished,3,2887,3,13,3,5,15,0,12306200
Kharadi,apartment,sale,fully-furnished,1,827,1,30,5,12,13,1,5541000
Magarpatta,apartment,rent,semi-furnished,2,999,2,17,5,5,17,0,41500
Viman Nagar,house,rent,semi-furnished,1,916,1,13,6,0,14,1,24400
Magarpatta,studio,rent,semi-furnished,1,395,1,8,3,8,10,0,15000
Kalyani Nagar,apartment,sale,unfurnished,1,708,1,16,4,8,9,0,7390700
